Temperature,L,R,A_M,Color,Spectral_Class,Type
5587.0,0.819,0.99,5.03,yellow-white,F,3
3826.0,200000.0,19.0,-6.93,Red,M,4
3365.0,340000.0,23.0,-6.2,Red,M,4
3270.0,150000.0,88.0,-6.02,Red,M,4
3295.0,195000.0,17.0,-7.22,,M,4
3008.0,280000.0,25.0,-6.0,Red,M,4
18000.0,320000.0,29.0,-6.6,,M,4
3575.0,123000.0,45.0,-6.78,Red,M,4
3574.0,200000.0,89.0,-5.24,Red,M,4
3625.0,184000.0,84.0,-6.74,Red,M,4
33750.0,220000.0,26.0,-6.1,Blue,B,4
3490.0,270000.0,1520.0,-9.4,Red,M,5
3750.0,283000.0,1260.0,-7.63,Red,M,5
3834.0,272000.0,1183.0,-9.2,Red,M,5
3749.0,550000.0,1648.0,-8.05,Orange,M,5
3650.0,310000.0,1324.0,-7.79,Red,M,5
12893.0,263000.0,1349.0,-11.75,,M,5
3345.0,363000.0,1673.0,-11.92,,M,5
3450.0,174000.0,1284.0,-11.28,Red,M,5
3752.0,209000.0,955.0,-11.24,Red,M,5
3535.0,195000.0,1546.0,-11.36,Red,M,5
3341.0,0.0056,0.057,16.23,Red,M,0
3432.0,0.00067,0.19,16.94,Red,M,0
2983.0,0.00024,0.094,16.09,Red,M,0
2835.0,0.00034,0.0918,16.96,Red,M,0
2935.0,0.00014,0.116,18.89,Red,M,0
3295.0,0.00098,0.132,17.13,Red,M,0
2945.0,0.00032,0.093,18.34,Red,M,0
2945.0,0.00098,0.0911,16.45,,M,0
2774.0,0.00036,0.118,17.39,Red,M,0
23678.0,0.00072,0.12,19.43,,M,0
3345.0,0.021,0.273,12.3,Red,M,1
3607.0,0.022,0.38,10.12,Red,M,1
3304.0,0.0085,0.18,13.2,Red,M,1
3150.0,0.0088,0.35,11.94,Red,M,1
3550.0,0.004,0.291,10.89,Red,M,1
3180.0,0.001,0.35,11.76,Red,M,1
2890.0,0.0034,0.24,13.46,Red,M,1
3342.0,0.0015,0.307,11.87,Red,M,1
2621.0,0.0006,0.098,12.81,Red,M,1
3158.0,0.00135,0.161,13.98,Red,M,1
7100.0,0.00029,0.012,14.09,yellow-white,F,2
10574.0,0.00014,0.0092,12.02,white,F,2
8930.0,0.00056,0.0095,13.78,white,A,2
17200.0,0.00098,0.015,12.45,Blue-white,B,2
14100.0,0.00067,0.0089,12.17,Blue-white,B,2
32489.0,0.00045,0.0109,13.98,,A,2
23440.0,0.00078,0.0092,12.13,,B,2
10980.0,0.00074,0.0087,11.19,Blue-white,B,2
13720.0,0.00018,0.00892,12.97,white,F,2
19860.0,0.0011,0.0131,11.34,Blue,B,2
16787.0,0.59,0.91,5.49,,F,3
4526.0,0.153,0.865,6.506,yellow-white,K,3
4077.0,0.085,0.795,6.228,yellow-white,K,3
4980.0,0.357,1.13,4.78,yellow-white,K,3
5112.0,45.0,2.63,1.45,,A,3
8829.0,672.0,6.98,-2.3,,A,3
5112.0,0.63,0.876,4.68,Orange,K,3
7720.0,7.92,1.34,2.44,yellow-white,F,3
3531.0,689.0,7.01,0.02,,A,3
36108.0,198000.0,10.2,-4.4,Blue,O,3
2700.0,240000.0,12.0,-6.5,,B,4
40000.0,813000.0,14.0,-6.23,Blue,O,4
23000.0,127000.0,36.0,-5.76,Blue,O,4
36108.0,235000.0,83.0,-6.89,,O,4
11096.0,112000.0,12.0,-5.91,Blue,O,4
14245.0,231000.0,42.0,-6.12,Blue,O,4
24630.0,363000.0,63.0,-5.83,Blue,O,4
12893.0,184000.0,36.0,-6.34,Blue,O,4
36108.0,142000.0,57.0,-6.24,,O,4
3692.0,352000.0,67.0,-5.79,,O,4
3459.0,100000.0,1289.0,-10.7,Red,M,5
3605.0,126000.0,1124.0,-10.81,Red,M,5
3615.0,200000.0,1635.0,-11.33,Red,M,5
3399.0,117000.0,1486.0,-10.92,Red,M,5
3610.0,132000.0,1522.0,-10.86,Red,M,5
3553.0,145000.0,1324.0,-11.03,Red,M,5
4015.0,282000.0,1534.0,-11.39,Red,K,5
3625.0,74000.0,876.0,-10.25,Red,M,5
6850.0,229000.0,1467.0,-10.07,Red,G,5
28700.0,200000.0,1324.0,-10.7,,M,5
10574.0,0.00043,0.0912,17.16,,M,0
3531.0,0.00093,0.0976,19.94,Red,M,0
3218.0,0.00054,0.11,20.02,Red,M,0
3146.0,0.00015,0.0932,16.92,Red,M,0
3511.0,0.00064,0.109,17.12,Red,M,0
3225.0,0.00076,0.121,19.63,Red,M,0
3692.0,0.00087,0.0932,16.88,,M,0
2861.0,0.00019,0.0899,16.71,Red,M,0
7740.0,0.000896,0.0782,19.56,,M,0
2731.0,0.000437,0.0856,18.09,Red,M,0
3095.0,0.00019,0.492,10.87,Red,M,1
3607.0,0.00023,0.38,10.34,Red,M,1
3100.0,0.008,0.31,11.17,Red,M,1
2989.0,0.0087,0.34,13.12,Red,M,1
3542.0,0.0009,0.62,14.23,Red,M,1
3243.0,0.0023,0.73,14.75,Red,M,1
3091.0,0.0081,0.24,11.43,Red,M,1
3598.0,0.0011,0.56,14.26,Red,M,1
3324.0,0.0034,0.34,12.23,Red,M,1
3541.0,0.0013,0.256,14.33,Red,M,1
13420.0,0.00059,0.00981,13.67,Blue-white,B,2
21020.0,0.0015,0.0112,11.52,Blue,B,2
18290.0,0.0013,0.00934,12.78,Blue,B,2
14520.0,0.00082,0.00972,11.92,Blue-white,B,2
11900.0,0.00067,0.00898,11.38,Blue-white,B,2
8924.0,0.00028,0.00879,14.87,Blue-white,A,2
12912.0,0.00071,0.00945,12.83,Blue-white,B,2
14732.0,0.00011,0.00892,12.89,white,F,2
3496.0,0.00014,0.00878,14.81,,A,2
12984.0,0.00088,0.00996,11.23,Blue-white,B,2
29560.0,188000.0,6.02,-4.01,Blue-white,B,3
2889.0,38.0,2.487,0.12,,A,3
10980.0,1092.0,5.745,-2.04,,A,3
16390.0,1278.0,5.68,-3.32,Blue-white,B,3
25070.0,14500.0,5.92,-3.98,Blue-white,B,3
28700.0,16790.0,6.4,-4.09,Blue-white,B,3
26140.0,14520.0,5.49,-3.8,Blue-white,B,3
20120.0,4720.0,6.78,-3.4,Blue-white,B,3
13023.0,998.0,6.21,-1.38,Blue-white,A,3
37800.0,202900.0,6.86,-4.56,Blue,O,3
25390.0,223000.0,57.0,-5.92,Blue,O,4
17140.0,251000.0,36.0,-6.245,,O,4
3192.0,452000.0,83.0,-5.62,,O,4
5752.0,245000.0,97.0,-6.63,Blue,O,4
8927.0,239000.0,35.0,-7.34,Blue,O,4
3432.0,131000.0,24.0,-7.22,,O,4
19923.0,152000.0,73.0,-5.69,Blue,O,4
26373.0,198000.0,39.0,-5.83,Blue,O,4
17383.0,342900.0,30.0,-6.09,Blue,O,4
9373.0,424520.0,24.0,-5.99,Blue,O,4
3570.0,320000.0,1480.0,-7.58,Red,M,5
3500.0,138000.0,1420.0,-8.18,Red,M,5
4287.0,630000.0,1315.0,-9.2,Orange,K,5
26000.0,316000.0,1679.0,-9.1,Blue,B,5
16390.0,240000.0,1190.0,-7.89,,M,5
30839.0,145000.0,1553.0,-7.71,,M,5
18000.0,200000.0,1045.0,-8.3,Blue,O,5
11000.0,170000.0,1779.0,-9.9,Blue-white,B,5
12100.0,120000.0,708.9,-7.84,Blue-white,B,5
24490.0,248490.0,1134.5,-8.24,Blue-white,B,5
2831.0,0.000231,0.0915,16.21,Red,M,0
2914.0,0.000631,0.116,18.39,Red,M,0
3419.0,0.000245,0.126,17.56,Red,M,0
3218.0,0.000452,0.0987,17.34,Red,M,0
4526.0,0.000621,0.0773,17.08,,M,0
2889.0,0.000352,0.0973,16.93,Red,M,0
2968.0,0.000461,0.119,17.45,Red,M,0
3484.0,0.000551,0.0998,16.67,Red,M,0
2778.0,0.000849,0.112,19.45,Red,M,0
3523.0,0.000957,0.129,16.35,Red,M,0
3462.0,0.0053,0.148,11.47,Red,M,1
3257.0,0.0024,0.46,10.73,Red,M,1
8052.0,0.0072,0.28,13.45,,M,1
3212.0,0.0016,0.378,12.854,Red,M,1
3523.0,0.0054,0.319,12.43,Red,M,1
3598.0,0.0027,0.67,13.667,Red,M,1
29560.0,0.00132,0.258,14.12,,M,1
3496.0,0.00125,0.336,14.94,Red,M,1
3324.0,0.0065,0.471,12.78,Red,M,1
3463.0,0.0027,0.675,14.776,Red,M,1
16790.0,0.0014,0.0121,12.87,Blue,B,2
26373.0,0.00122,0.0114,11.92,,B,2
14982.0,0.00118,0.0113,12.23,Blue,B,2
13340.0,0.00109,0.0116,12.9,Blue,B,2
18340.0,0.00134,0.0124,11.22,Blue,B,2
19920.0,0.00156,0.0142,11.34,Blue,B,2
24020.0,0.00159,0.0127,10.55,Blue,B,2
16390.0,0.00132,0.0104,10.18,,B,2
17920.0,0.00111,0.0106,11.66,Blue,B,2
19360.0,0.00125,0.00998,11.62,Blue,B,2
14100.0,12450.0,6.36,-3.67,,B,3
10012.0,552.0,5.856,0.013,Blue-white,A,3
13089.0,788.0,5.992,-0.12,Blue-white,A,3
22012.0,6748.0,6.64,-2.55,Blue-white,B,3
34190.0,198200.0,6.39,-4.57,Blue,O,3
11000.0,173800.0,6.237,-4.36,,O,3
9320.0,29.0,1.91,1.236,Blue-white,A,3
19400.0,10920.0,6.03,-3.08,Blue-white,B,3
17140.0,883.0,5.653,-2.64,Blue-white,B,3
23000.0,9.25,1.93,-0.98,,F,3
23678.0,244290.0,35.0,-6.27,Blue,O,4
12749.0,332520.0,76.0,-7.02,Blue,O,4
9383.0,342940.0,98.0,-6.98,Blue,O,4
23440.0,537430.0,81.0,-5.975,Blue,O,4
16787.0,246730.0,62.0,-6.35,Blue,O,4
18734.0,224780.0,46.0,-7.45,Blue,O,4
9892.0,593900.0,80.0,-7.262,Blue,O,4
13340.0,783930.0,25.0,-6.224,,O,4
23095.0,347820.0,86.0,-5.905,Blue,O,4
21738.0,748890.0,92.0,-7.346,Blue,O,4
4077.0,382993.0,1494.0,-8.84,,B,5
38234.0,272830.0,1356.0,-9.29,Blue,O,5
32489.0,648430.0,1948.5,-10.84,Blue,O,5
27739.0,849420.0,1252.0,-7.59,Blue-white,B,5
11790.0,748490.0,1130.0,-7.67,,B,5
38940.0,374830.0,1356.0,-9.93,Blue,O,5
30839.0,834042.0,1194.0,-10.63,Blue,O,5
8829.0,537493.0,1423.0,-10.73,white,A,5
9235.0,404940.0,1112.0,-11.23,white,A,5
37882.0,294903.0,1783.0,-7.8,Blue,O,5
